/* DATA DESCRIPTION:
Citation:	Jouzel, Jean; Masson-Delmotte, Valerie (2007): EPICA Dome C Ice Core 800KYr deuterium data and temperature estimates. PANGAEA, https://doi.org/10.1594/PANGAEA.683655, 
	Supplement to: Jouzel, Jean; Masson-Delmotte, Valerie; Cattani, Olivier; Dreyfus, Gabrielle; Falourd, Sonia; Hoffmann, G; Minster, B; Nouet, J; Barnola, Jean-Marc; Chappellaz, Jérôme A; Fischer, Hubertus; Gallet, J C; Johnsen, Sigfus J; Leuenberger, Markus C; Loulergue, Laetitia; Luethi, D; Oerter, Hans; Parrenin, Frédéric; Raisbeck, Grant M; Raynaud, Dominique; Schilt, Adrian; Schwander, Jakob; Selmo, Enrico; Souchez, Roland; Spahni, Renato; Stauffer, Bernhard; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tison, Jean-Louis; Werner, Martin; Wolff, Eric W (2007): Orbital and millennial Antarctic climate variability over the past 800,000 years. Science, 317(5839), 793-797, https://doi.org/10.1126/science.1141038
Abstract:	A high-resolution deuterium profile is now available along the entire European Project for Ice Coring in Antarctica Dome C ice core, extending this climate record back to marine isotope stage 20.2, ~800,000 years ago. Experiments performed with an atmospheric general circulation model including water isotopes support its temperature interpretation. We assessed the general correspondence between Dansgaard-Oeschger events and their smoothed Antarctic counterparts for this Dome C record, which reveals the presence of such features with similar amplitudes during previous glacial periods. We suggest that the interplay between obliquity and precession accounts for the variable intensity of interglacial periods in ice core records.
	Temperature was estimated after correction for sea-water isotopic composition (Bintanja et al, 2005) and for ice sheet elevation (Parrenin et al, 2007) on EDC3 age scale (Parrenin et al, 2007).
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: http://www.esf.org/index.php?id=855)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 0.00 m * MAXIMUM DEPTH, ice/snow: 3189.45 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC3 time scale
	δ Deuterium [‰ SMOW] (δD) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: LSCE, analytical accuracy of 0.5 per mil
	Temperature, difference [°C] (delta T) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Calculated * COMMENT: Temperature difference from the average of the last 1000 years
	Sample ID (Sample ID) * PI: Masson-Delmotte, Valerie * COMMENT: Bag number
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	23173 data points
*/
Depth ice/snow [m]	Age model [ka]	δD [‰ SMOW]	delta T [°C]	Sample ID
2442.55	290.374	-415.0	-4.33	4442
2443.10	290.534	-416.4	-4.57	4443
2443.65	290.698	-415.3	-4.40	4444
2444.20	290.857	-418.7	-4.97	4445
2444.75	291.018	-419.6	-5.12	4446
2445.30	291.181	-420.7	-5.31	4447
2445.85	291.358	-423.2	-5.73	4448
2446.40	291.541	-427.4	-6.43	4449
2446.95	291.727	-421.2	-5.41	4450
2447.50	291.906	-423.1	-5.72	4451
2448.05	292.090	-425.8	-6.17	4452
2448.60	292.283	-429.0	-6.70	4453
2449.15	292.485	-426.5	-6.29	4454
2449.70	292.680	-427.2	-6.41	4455
2450.25	292.879	-425.6	-6.14	4456
2450.80	293.073	-430.7	-6.98	4457
2451.35	293.281	-432.4	-7.27	4458
2451.90	293.486	-435.4	-7.76	4459
2452.45	293.711	-434.3	-7.58	4460
2453.00	293.933	-431.7	-7.14	4461
2453.55	294.146	-427.2	-6.40	4462
2454.10	294.346	-434.1	-7.53	4463
2454.65	294.568	-434.7	-7.63	4464
2455.20	294.792	-437.4	-8.07	4465
2455.75	295.018	-434.7	-7.62	4466
2456.30	295.243	-432.3	-7.22	4467
2456.85	295.454	-432.2	-7.20	4468
2457.40	295.670	-429.1	-6.68	4469
2457.95	295.876	-426.0	-6.17	4470
2458.50	296.072	-418.5	-4.93	4471
2459.05	296.249	-422.9	-5.66	4472
2459.60	296.436	-424.2	-5.87	4473
2460.15	296.630	-427.2	-6.37	4474
2460.70	296.831	-430.8	-6.95	4475
2461.25	297.040	-431.4	-7.05	4476
2461.80	297.258	-433.4	-7.38	4477
2462.35	297.480	-437.4	-8.03	4478
2462.90	297.695	-433.3	-7.35	4479
2463.45	297.896	-436.1	-7.81	4480
2464.00	298.128	-434.9	-7.60	4481
2464.55	298.356	-432.2	-7.15	4482
2465.10	298.576	-432.8	-7.24	4483
2465.65	298.790	-429.4	-6.68	4484
2466.20	299.001	-428.6	-6.54	4485
2466.75	299.209	-427.6	-6.37	4486
2467.30	299.415	-429.2	-6.63	4487
2467.85	299.626	-428.9	-6.57	4488
2468.40	299.836	-425.4	-5.99	4489
2468.95	300.035	-424.7	-5.87	4490
2469.50	300.232	-422.9	-5.57	4491
2470.05	300.424	-418.9	-4.91	4492
2470.60	300.609	-425.1	-5.93	4493
2471.15	300.808	-427.4	-6.31	4494
2471.70	301.015	-429.0	-6.57	4495
2472.25	301.227	-432.5	-7.14	4496
2472.80	301.451	-435.9	-7.69	4497
2473.35	301.668	-432.1	-7.06	4498
2473.90	301.891	-432.2	-7.07	4499
2474.45	302.116	-431.9	-7.01	4500
2475.00	302.339	-425.5	-5.94	4501
2475.55	302.542	-427.3	-6.23	4502
2476.10	302.751	-428.3	-6.39	4503
2476.65	302.963	-426.7	-6.12	4504
2477.20	303.170	-424.1	-5.68	4505
2477.75	303.369	-421.5	-5.25	4506
2478.30	303.562	-425.0	-5.82	4507
2478.85	303.763	-418.4	-4.73	4508
2479.40	303.954	-422.7	-5.42	4509
2479.95	304.148	-420.8	-5.10	4510
2480.50	304.329	-422.6	-5.39	4511
2481.05	304.524	-421.5	-5.20	4512
2481.60	304.716	-419.4	-4.85	4513
2482.15	304.906	-422.0	-5.27	4514
2482.70	305.100	-418.4	-4.67	4515
2483.25	305.284	-414.1	-3.95	4516
2483.80	305.456	-415.9	-4.25	4517
2484.35	305.633	-417.9	-4.57	4518
2484.90	305.817	-423.1	-5.42	4519
2485.45	306.014	-422.3	-5.28	4520
2486.00	306.211	-423.5	-5.47	4521
2486.55	306.410	-421.1	-5.06	4522
2487.10	306.604	-425.6	-5.80	4523
2487.65	306.807	-430.9	-6.66	4524
2488.20	307.031	-436.6	-7.59	4525
2488.75	307.269	-433.1	-6.99	4526
2489.30	307.491	-432.0	-6.79	4527
2489.85	307.720	-430.7	-6.56	4528
2490.40	307.945	-429.7	-6.38	4529
2490.95	308.167	-427.6	-6.02	4530
2491.50	308.382	-424.7	-5.53	4531
2492.05	308.588	-428.3	-6.12	4532
2492.60	308.805	-426.2	-5.76	4533
2493.15	309.017	-423.7	-5.33	4534
2493.70	309.223	-426.0	-5.70	4535
2494.25	309.434	-426.9	-5.84	4536
2494.80	309.649	-430.1	-6.36	4537
2495.35	309.873	-424.6	-5.44	4538
2495.90	310.082	-426.7	-5.77	4539
2496.45	310.297	-424.5	-5.40	4540
2497.00	310.506	-428.0	-5.97	4541
2497.55	310.725	-423.5	-5.21	4542
2498.10	310.931	-423.5	-5.19	4543
2498.65	311.133	-424.9	-5.41	4544
2499.20	311.337	-425.5	-5.51	4545
2499.75	311.542	-424.5	-5.33	4546
2500.30	311.755	-422.1	-4.92	4547
2500.85	311.954	-423.3	-5.11	4548
2501.40	312.160	-419.3	-4.43	4549
2501.95	312.356	-421.3	-4.76	4550
2502.50	312.558	-423.5	-5.11	4551
2503.05	312.765	-417.2	-4.05	4552
2503.60	312.956	-417.1	-4.03	4553
2504.15	313.146	-419.4	-4.40	4554
2504.70	313.342	-413.6	-3.43	4555
2505.25	313.523	-416.5	-3.90	4556
2505.80	313.710	-410.2	-2.85	4557
2506.35	313.883	-416.0	-3.80	4558
2506.90	314.070	-414.0	-3.46	4559
2507.45	314.252	-412.6	-3.22	4560
2508.00	314.430	-415.4	-3.67	4561
2508.55	314.616	-412.8	-3.23	4562
2509.10	314.796	-410.5	-2.84	4563
2509.65	314.968	-408.5	-2.50	4564
2510.20	315.136	-415.3	-3.62	4565
2510.75	315.322	-416.7	-3.84	4566
2511.30	315.512	-407.3	-2.28	4567
2511.85	315.679	-409.3	-2.60	4568
2512.40	315.849	-406.0	-2.05	4569
2512.95	316.011	-403.4	-1.61	4570
2513.50	316.166	-401.4	-1.27	4571
2514.05	316.317	-410.0	-2.69	4572
2514.60	316.488	-411.9	-2.99	4573
2515.15	316.666	-411.7	-2.95	4574
2515.70	316.844	-412.8	-3.12	4575
2516.25	317.025	-413.4	-3.20	4576
2516.80	317.209	-415.7	-3.57	4577
2517.35	317.398	-415.0	-3.44	4578
2517.90	317.586	-416.4	-3.65	4579
2518.45	317.777	-414.3	-3.29	4580
2519.00	317.964	-416.3	-3.60	4581
2519.55	318.156	-420.1	-4.22	4582
2520.10	318.359	-421.4	-4.41	4583
2520.65	318.568	-426.9	-5.30	4584
2521.20	318.794	-422.6	-4.57	4585
2521.75	319.006	-421.8	-4.41	4586
2522.30	319.216	-421.7	-4.37	4587
2522.85	319.426	-422.3	-4.45	4588
2523.40	319.637	-422.2	-4.41	4589
2523.95	319.848	-420.0	-4.03	4590
2524.50	320.053	-418.8	-3.81	4591
2525.05	320.254	-421.5	-4.24	4592
2525.60	320.462	-416.5	-3.39	4593
2526.15	320.657	-415.1	-3.14	4594
2526.70	320.846	-414.2	-2.98	4595
2527.25	321.033	-414.9	-3.08	4596
2527.80	321.222	-409.0	-2.08	4597
2528.35	321.396	-414.0	-2.90	4598
2528.90	321.581	-410.9	-2.37	4599
2529.45	321.760	-411.4	-2.44	4600
2530.00	321.939	-410.3	-2.24	4601
2530.55	322.115	-408.5	-1.93	4602
2531.10	322.287	-408.5	-1.92	4603
2531.65	322.458	-405.1	-1.35	4604
2532.20	322.621	-406.2	-1.52	4605
2532.75	322.787	-408.4	-1.88	4606
2533.30	322.958	-404.4	-1.21	4607
2533.85	323.119	-404.0	-1.13	4608
2534.40	323.279	-402.8	-0.93	4609
2534.95	323.437	-401.8	-0.76	4610
2535.50	323.592	-405.7	-1.40	4611
2536.05	323.755	-399.9	-0.43	4612
2536.60	323.907	-402.4	-0.84	4613
2537.15	324.063	-399.4	-0.34	4614
2537.70	324.212	-396.6	0.13	4615
2538.25	324.356	-396.9	0.08	4616
2538.80	324.500	-398.8	-0.23	4617
2539.35	324.648	-400.8	-0.56	4618
2539.90	324.800	-398.4	-0.16	4619
2540.45	324.948	-398.9	-0.24	4620
2541.00	325.096	-397.9	-0.08	4621
2541.55	325.242	-396.3	0.19	4622
2542.10	325.385	-400.8	-0.55	4623
2542.65	325.529	-394.8	0.44	4624
2543.20	325.668	-392.3	0.85	4625
2543.75	325.802	-393.1	0.72	4626
2544.30	325.938	-389.5	1.31	4627
2544.85	326.067	-394.0	0.56	4628
2545.40	326.203	-393.9	0.57	4629
2545.95	326.341	-395.5	0.31	4630
2546.50	326.480	-393.9	0.57	4631
2547.05	326.617	-393.6	0.61	4632
2547.60	326.750	-394.7	0.43	4633
2548.15	326.887	-396.3	0.16	4634
2548.70	327.025	-393.0	0.70	4635
2549.25	327.161	-394.8	0.39	4636
2549.80	327.298	-394.4	0.46	4637
2550.35	327.432	-394.6	0.41	4638
2550.90	327.560	-390.8	1.04	4639
2551.45	327.685	-389.8	1.19	4640
2552.00	327.818	-393.5	0.57	4641
2552.55	327.949	-392.1	0.79	4642
2553.10	328.083	-392.6	0.70	4643
2553.65	328.217	-392.0	0.80	4644
2554.20	328.351	-392.8	0.66	4645
2554.75	328.477	-388.5	1.36	4646
2555.30	328.604	-388.4	1.36	4647
2555.85	328.733	-389.9	1.11	4648
2556.40	328.864	-390.5	1.00	4649
2556.95	329.001	-394.0	0.41	4650
2557.50	329.141	-395.2	0.20	4651
2558.05	329.275	-391.6	0.79	4652
2558.60	329.415	-395.7	0.10	4653
2559.15	329.551	-391.5	0.78	4654
2559.70	329.684	-393.2	0.49	4655
2560.25	329.820	-393.2	0.47	4656
2560.80	329.952	-391.3	0.77	4657
2561.35	330.083	-390.3	0.92	4658
2561.90	330.213	-390.0	0.96	4659
2562.45	330.343	-389.8	0.97	4660
2563.00	330.482	-394.7	0.15	4661
2563.55	330.616	-391.2	0.71	4662
2564.10	330.753	-393.4	0.32	4663
2564.65	330.890	-393.1	0.35	4664
2565.20	331.036	-397.2	-0.34	4665
2565.75	331.179	-395.6	-0.10	4666
2566.30	331.322	-395.6	-0.12	4667
2566.85	331.461	-394.4	0.05	4668
2567.40	331.599	-393.0	0.26	4669
2567.95	331.725	-388.2	1.03	4670
2568.50	331.849	-388.1	1.02	4671
2569.05	331.979	-388.8	0.88	4672
2569.60	332.097	-383.1	1.79	4673
2570.15	332.217	-382.7	1.83	4674
2570.70	332.330	-381.4	2.01	4675
2571.25	332.442	-379.4	2.32	4676
2571.80	332.549	-376.5	2.77	4677
2572.35	332.653	-373.3	3.27	4678
2572.90	332.762	-377.6	2.53	4679
2573.45	332.872	-377.4	2.54	4680
2574.00	332.976	-373.3	3.19	4681
2574.55	333.079	-373.1	3.19	4682
2575.10	333.179	-371.2	3.48	4683
2575.65	333.277	-369.4	3.75	4684
2576.20	333.379	-371.7	3.34	4685
2576.75	333.485	-372.2	3.23	4686
2577.30	333.590	-371.3	3.35	4687
2577.85	333.697	-373.8	2.90	4688
2578.40	333.803	-373.0	3.01	4689
2578.95	333.902	-368.6	3.70	4690
2579.50	334.000	-368.9	3.62	4691
2580.05	334.103	-373.1	2.90	4692
2580.60	334.207	-371.8	3.09	4693
2581.15	334.316	-374.0	2.69	4694
2581.70	334.422	-372.8	2.87	4695
2582.25	334.528	-373.0	2.81	4696
2582.80	334.642	-377.4	2.04	4697
2583.35	334.763	-379.9	1.60	4698
2583.90	334.880	-379.7	1.61	4699
2584.45	335.000	-381.1	1.36	4700
2585.00	335.120	-382.2	1.15	4701
2585.55	335.250	-385.8	0.53	4702
2586.10	335.376	-384.0	0.80	4703
2586.65	335.514	-389.1	-0.07	4704
2587.20	335.655	-392.3	-0.62	4705
2587.75	335.798	-392.4	-0.66	4706
2588.30	335.947	-394.0	-0.95	4707
2588.85	336.098	-397.1	-1.48	4708
2589.40	336.260	-399.6	-1.92	4709
2589.95	336.426	-400.8	-2.14	4710
2590.50	336.591	-400.8	-2.17	4711
2591.05	336.762	-403.6	-2.65	4712
2591.60	336.937	-405.2	-2.94	4713
2592.15	337.117	-404.1	-2.78	4714
2592.70	337.296	-406.3	-3.17	4715
2593.25	337.478	-406.1	-3.16	4716
2593.80	337.667	-408.0	-3.50	4717
2594.35	337.864	-410.8	-3.98	4718
2594.90	338.064	-411.5	-4.12	4719
2595.45	338.274	-414.3	-4.60	4720
2596.00	338.492	-417.0	-5.07	4721
2596.55	338.724	-420.6	-5.68	4722
2597.10	338.953	-419.4	-5.50	4723
2597.65	339.190	-422.0	-5.95	4724
2598.20	339.435	-423.5	-6.21	4725
2598.75	339.690	-425.5	-6.55	4726
2599.30	339.949	-427.9	-6.96	4727
2599.85	340.220	-428.7	-7.10	4728
2600.40	340.500	-432.4	-7.71	4729
2600.95	340.798	-436.5	-8.39	4730
2601.50	341.121	-441.3	-9.18	4731
2602.05	341.454	-443.6	-9.56	4732
2602.60	341.774	-440.2	-8.99	4733
2603.15	342.103	-441.6	-9.22	4734
2603.70	342.448	-444.3	-9.66	4735
2604.25	342.761	-440.2	-8.98	4736
2604.80	343.098	-441.2	-9.14	4737
2605.35	343.404	-436.3	-8.33	4738
2605.90	343.728	-440.6	-9.03	4739
2606.45	344.041	-438.2	-8.62	4740
2607.00	344.368	-439.6	-8.85	4741
2607.55	344.688	-439.6	-8.84	4742
2608.10	345.001	-437.8	-8.53	4743
2608.65	345.317	-438.8	-8.69	4744
2609.20	345.623	-436.4	-8.29	4745
2609.75	345.934	-437.3	-8.43	4746
2610.30	346.257	-440.1	-8.88	4747
2610.85	346.557	-434.8	-8.01	4748
2611.40	346.868	-437.6	-8.46	4749
2611.95	347.181	-437.8	-8.49	4750
2612.50	347.466	-431.4	-7.44	4751
2613.05	347.769	-435.7	-8.14	4752
2613.60	348.090	-439.4	-8.74	4753
2614.15	348.408	-438.6	-8.61	4754
2614.70	348.707	-434.9	-8.00	4755
2615.25	348.969	-425.9	-6.52	4756
2615.80	349.260	-433.2	-7.73	4757
2616.35	349.540	-430.0	-7.20	4758
2616.90	349.821	-430.5	-7.28	4759
2617.45	350.106	-431.0	-7.36	4760
2618.00	350.410	-435.5	-8.10	4761
2618.55	350.702	-432.5	-7.61	4762
2619.10	351.000	-433.9	-7.83	4763
2619.65	351.300	-434.3	-7.89	4764
2620.20	351.600	-434.2	-7.87	4765
2620.75	351.895	-433.3	-7.72	4766
2621.30	352.195	-434.2	-7.86	4767
2621.85	352.494	-434.9	-7.97	4768
2622.40	352.794	-432.8	-7.63	4769
2622.95	353.090	-432.6	-7.59	4770
2623.50	353.379	-431.4	-7.40	4771
2624.05	353.670	-434.7	-7.94	4772
2624.60	353.958	-432.3	-7.55	4773
2625.15	354.272	-436.0	-8.15	4774
2625.70	354.600	-438.6	-8.58	4775
2626.25	354.935	-439.9	-8.79	4776
2626.80	355.274	-441.2	-9.00	4777
2627.35	355.609	-440.4	-8.87	4778
2627.90	355.944	-440.4	-8.87	4779
2628.45	356.268	-438.3	-8.52	4780
2629.00	356.594	-438.6	-8.57	4781
2629.55	356.927	-439.9	-8.78	4782
2630.10	357.259	-439.5	-8.70	4783
2630.65	357.598	-441.0	-8.94	4784
2631.20	357.935	-441.3	-8.99	4785
2631.75	358.282	-440.2	-8.80	4786
2632.30	358.614	-437.9	-8.41	4787
2632.85	358.947	-438.6	-8.52	4788
2633.40	359.281	-439.7	-8.70	4789
2633.95	359.599	-434.5	-7.84	4790
2634.50	359.931	-439.2	-8.60	4791
2635.05	360.248	-434.6	-7.84	4792
2635.60	360.585	-440.1	-8.74	4793
2636.15	360.892	-433.8	-7.69	4794
2636.70	361.223	-438.1	-8.39	4795
2637.25	361.534	-435.1	-7.89	4796
2637.80	361.835	-432.1	-7.40	4797
2638.35	362.150	-433.4	-7.61	4798
2638.90	362.473	-437.4	-8.26	4799
2639.45	362.766	-430.2	-7.07	4800
2640.00	363.060	-424.2	-6.07	4801
2640.55	363.354	-430.5	-7.11	4802
2641.10	363.660	-433.2	-7.55	4803
2641.65	363.958	-431.1	-7.20	4804
2642.20	364.264	-432.7	-7.46	4805
2642.75	364.592	-436.9	-8.14	4806
2643.30	364.919	-437.3	-8.19	4807
2643.85	365.224	-432.3	-7.36	4808
2644.40	365.526	-431.6	-7.23	4809
2644.95	365.836	-433.7	-7.58	4810
2645.50	366.147	-433.6	-7.55	4811
2646.05	366.456	-433.1	-7.46	4812
2646.60	366.774	-435.2	-7.80	4813
2647.15	367.084	-433.4	-7.50	4814
2647.70	367.388	-431.5	-7.18	4815
2648.25	367.688	-428.8	-6.73	4816
2648.80	367.993	-432.8	-7.38	4817
2649.35	368.303	-434.4	-7.64	4818
2649.90	368.640	-438.4	-8.29	4819
2650.45	368.963	-435.6	-7.82	4820
2651.00	369.275	-433.1	-7.40	4821
2651.55	369.586	-432.9	-7.36	4822
2652.10	369.881	-429.3	-6.77	4823
2652.65	370.184	-431.0	-7.04	4824
2653.20	370.488	-431.1	-7.06	4825
2653.75	370.768	-425.7	-6.17	4826
2654.30	371.057	-427.7	-6.49	4827
2654.85	371.345	-427.5	-6.46	4828
2655.40	371.633	-427.1	-6.39	4829
2655.95	371.921	-427.4	-6.44	4830
2656.50	372.202	-425.4	-6.11	4831
2657.05	372.472	-422.9	-5.70	4832
2657.60	372.725	-418.4	-4.96	4833
2658.15	372.989	-421.2	-5.42	4834
2658.70	373.266	-424.1	-5.90	4835
2659.25	373.551	-425.7	-6.16	4836
2659.80	373.845	-427.7	-6.49	4837
2660.35	374.151	-430.0	-6.86	4838
2660.90	374.489	-436.6	-7.94	4839
2661.45	374.825	-435.7	-7.78	4840
2662.00	375.158	-435.0	-7.66	4841
2662.55	375.486	-433.8	-7.45	4842
2663.10	375.809	-432.7	-7.26	4843
2663.65	376.132	-432.5	-7.22	4844
2664.20	376.450	-431.3	-7.01	4845
2664.75	376.753	-428.0	-6.46	4846
2665.30	377.062	-429.3	-6.67	4847
2665.85	377.364	-428.1	-6.46	4848
2666.40	377.670	-428.4	-6.50	4849
2666.95	377.965	-426.6	-6.20	4850
2667.50	378.283	-430.6	-6.85	4851
2668.05	378.588	-427.6	-6.35	4852
2668.60	378.883	-425.1	-5.93	4853
2669.15	379.174	-424.4	-5.81	4854
2669.70	379.465	-424.1	-5.76	4855
2670.25	379.748	-422.2	-5.44	4856
2670.80	380.019	-419.0	-4.91	4857
2671.35	380.291	-419.4	-4.97	4858
2671.90	380.571	-421.3	-5.28	4859
2672.45	380.846	-419.7	-5.02	4860
2673.00	381.118	-419.1	-4.92	4861
2673.55	381.380	-416.1	-4.42	4862
2674.10	381.644	-417.2	-4.60	4863
2674.65	381.912	-412.1	-3.76	4864
2675.20	382.178	-416.7	-4.52	4865
2675.75	382.468	-420.6	-5.15	4866
2676.30	382.754	-421.2	-5.24	4867
2676.85	383.036	-420.3	-5.09	4868
2677.40	383.342	-425.7	-5.97	4869
2677.95	383.645	-425.2	-5.87	4870
2678.50	383.956	-426.4	-6.06	4871
2679.05	384.256	-423.9	-5.63	4872
2679.60	384.549	-422.4	-5.37	4873
2680.15	384.839	-421.3	-5.18	4874
2680.70	385.107	-416.4	-4.36	4875
2681.25	385.389	-419.6	-4.88	4876
2681.80	385.673	-420.0	-4.93	4877
2682.35	385.943	-416.3	-4.31	4878
2682.90	386.207	-416.4	-4.32	4879
2683.45	386.469	-410.2	-3.29	4880
2684.00	386.716	-406.5	-2.67	4881
2684.55	386.977	-413.9	-3.88	4882
2685.10	387.253	-418.1	-4.56	4883
2685.65	387.537	-419.3	-4.74	4884
2686.20	387.839	-423.1	-5.35	4885
2686.75	388.144	-423.4	-5.37	4886
2687.30	388.467	-427.3	-5.99	4887
2687.85	388.788	-426.7	-5.86	4888
2688.40	389.137	-432.0	-6.70	4889
2688.95	389.481	-430.9	-6.48	4890
2689.50	389.805	-427.0	-5.80	4891
2690.05	390.135	-428.3	-5.98	4892
2690.60	390.448	-424.7	-5.35	4893
2691.15	390.743	-420.8	-4.68	4894
2691.70	391.040	-421.3	-4.73	4895
2692.25	391.345	-422.9	-4.96	4896
2692.80	391.644	-421.5	-4.70	4897
2693.35	391.942	-421.4	-4.65	4898
2693.90	392.231	-419.3	-4.26	4899
2694.45	392.515	-418.1	-4.03	4900
2695.00	392.790	-416.1	-3.67	4901
2695.55	393.057	-414.2	-3.33	4902
2696.10	393.325	-414.3	-3.32	4903
2696.65	393.580	-411.2	-2.78	4904
2697.20	393.832	-410.3	-2.61	4905
2697.75	394.079	-409.0	-2.37	4906
2698.30	394.328	-409.5	-2.43	4907
2698.85	394.568	-407.0	-2.00	4908
2699.40	394.815	-409.0	-2.30	4909
2699.95	395.057	-407.9	-2.10	4910
2700.50	395.281	-402.1	-1.12	4911
2701.05	395.501	-401.3	-0.98	4912
2701.60	395.737	-405.9	-1.71	4913
2702.15	395.965	-403.6	-1.31	4914
2702.70	396.192	-403.2	-1.23	4915
2703.25	396.413	-401.6	-0.95	4916
2703.80	396.635	-401.6	-0.93	4917
2704.35	396.846	-398.5	-0.40	4918
2704.90	397.058	-398.9	-0.45	4919
2705.45	397.267	-397.8	-0.25	4920
2706.00	397.477	-398.1	-0.28	4921
2706.55	397.677	-394.7	0.29	4922
2707.10	397.885	-397.8	-0.20	4923
2707.65	398.095	-398.0	-0.22	4924
2708.20	398.319	-402.5	-0.94	4925
2708.75	398.537	-400.4	-0.57	4926
2709.30	398.735	-394.2	0.47	4927
2709.85	398.935	-395.0	0.36	4928
2710.40	399.131	-393.4	0.64	4929
2710.95	399.340	-397.8	-0.07	4930
2711.50	399.543	-395.6	0.31	4931
2712.05	399.746	-395.2	0.39	4932
2712.60	399.946	-394.6	0.51	4933
2713.15	400.143	-393.5	0.70	4934
2713.70	400.332	-390.8	1.16	4935
2714.25	400.514	-388.2	1.60	4936
2714.80	400.704	-391.0	1.15	4937
2715.35	400.901	-393.0	0.83	4938
2715.90	401.094	-392.2	0.98	4939
2716.45	401.276	-387.4	1.78	4940
2717.00	401.460	-388.4	1.62	4941
2717.55	401.644	-388.4	1.63	4942
2718.10	401.830	-388.8	1.57	4943
2718.65	402.015	-388.8	1.58	4944
2719.20	402.192	-385.2	2.18	4945
2719.75	402.380	-389.4	1.49	4946
2720.30	402.563	-387.6	1.79	4947
2720.85	402.741	-385.5	2.14	4948
2721.40	402.917	-385.1	2.20	4949
2721.95	403.088	-382.6	2.62	4950
2722.50	403.267	-385.6	2.12	4951
2723.05	403.444	-384.7	2.27	4952
2723.60	403.624	-386.3	2.01	4953
2724.15	403.803	-385.1	2.20	4954
2724.70	403.984	-386.9	1.90	4955
2725.25	404.171	-388.5	1.64	4956
2725.80	404.348	-383.8	2.41	4957
2726.35	404.529	-385.7	2.10	4958
2726.90	404.714	-387.0	1.88	4959
2727.45	404.900	-387.6	1.78	4960
2728.00	405.080	-384.9	2.22	4961
2728.55	405.264	-388.9	1.56	4962
2729.10	405.441	-383.7	2.41	4963
2729.65	405.617	-383.2	2.49	4964
2730.20	405.790	-382.2	2.65	4965
2730.75	405.962	-381.8	2.71	4966
2731.30	406.142	-384.7	2.22	4967
2731.85	406.330	-387.3	1.79	4968
2732.40	406.508	-383.3	2.44	4969
2732.95	406.690	-384.3	2.27	4970
2733.50	406.860	-378.9	3.15	4971
2734.05	407.031	-380.4	2.90	4972
2734.60	407.215	-384.6	2.19	4973
2735.15	407.384	-380.3	2.90	4974
2735.70	407.567	-385.3	2.06	4975
2736.25	407.746	-382.9	2.45	4976
2736.80	407.922	-381.5	2.67	4977
2737.35	408.105	-384.5	2.17	4978
2737.90	408.292	-385.5	1.99	4979
2738.45	408.483	-386.8	1.77	4980
2739.00	408.669	-386.4	1.83	4981
2739.55	408.849	-384.7	2.09	4982
2740.10	409.028	-383.9	2.21	4983
2740.65	409.217	-386.8	1.73	4984
2741.20	409.402	-384.3	2.13	4985
2741.75	409.588	-386.2	1.80	4986
2742.30	409.781	-386.6	1.73	4987
2742.85	409.980	-387.5	1.57	4988
2743.40	410.174	-387.4	1.58	4989
2743.95	410.374	-386.5	1.72	4990
2744.50	410.577	-387.9	1.47	4991
2745.05	410.778	-386.4	1.72	4992
2745.60	410.986	-387.8	1.47	4993
2746.15	411.194	-388.4	1.37	4994
2746.70	411.402	-386.7	1.64	4995
2747.25	411.605	-390.8	0.95	4996
2747.80	411.817	-392.1	0.72	4997
2748.35	412.046	-393.8	0.44	4998
2748.90	412.277	-393.4	0.49	4999
2749.45	412.507	-393.7	0.43	5000
2750.00	412.739	-395.8	0.08	5001
2750.55	412.977	-392.2	0.66	5002
2751.10	413.198	-393.3	0.48	5003
2751.65	413.432	-394.7	0.23	5004
